
N is 16384: 

Miss : 10890, took time 278513
Miss : 10963, took time 374705
Miss : 11003, took time 483714
Miss : 11036, took time 99736
Miss : 11126, took time 97479
Miss : 11149, took time 75762
Miss : 11150, took time 1552457
Miss : 11166, took time 411811
Miss : 11224, took time 76131
Miss : 11247, took time 90052
Miss : 11296, took time 353223
Miss : 11367, took time 1075205
Miss : 11598, took time 92759
Miss : 11604, took time 88670
Miss : 11626, took time 276307
Miss : 11722, took time 998245
Miss : 11728, took time 82977
Miss : 11740, took time 513172
Miss : 11794, took time 77601
Miss : 11932, took time 282758
Miss : 11954, took time 283315
Miss : 11981, took time 81253
Miss : 11998, took time 77512
Miss : 12080, took time 288831
Miss : 12097, took time 629907
Miss : 12126, took time 110307
Miss : 12285, took time 79830
Miss : 12311, took time 89318
Miss : 12327, took time 113657
Miss : 12356, took time 78054
Miss : 12419, took time 385921
Miss : 12465, took time 395255
Miss : 12467, took time 75520
Miss : 12505, took time 256106
Miss : 12580, took time 289751
Miss : 12647, took time 96408
Miss : 12678, took time 75028
Miss : 12693, took time 89129
Miss : 12828, took time 287647
Miss : 12829, took time 268959
Miss : 12882, took time 78396
Miss : 12887, took time 947688
Miss : 12892, took time 83995
Miss : 13025, took time 332467
Miss : 13083, took time 92159
Miss : 13150, took time 237147
Miss : 13162, took time 88520
Miss : 13203, took time 327635
Miss : 13248, took time 335122
Miss : 13250, took time 105055
Miss : 13283, took time 104660
Miss : 13288, took time 82688
Miss : 13324, took time 80343
Miss : 13377, took time 337048
Miss : 13415, took time 280279
Miss : 13419, took time 84307
Miss : 13443, took time 89360
Miss : 13480, took time 78605
Miss : 13486, took time 117826
Miss : 13514, took time 248555
Miss : 13533, took time 255559
Miss : 13546, took time 99083
Miss : 13580, took time 375804
Miss : 13613, took time 85665
Miss : 13660, took time 240253
Miss : 13681, took time 288689
Miss : 13736, took time 1094556
Miss : 13758, took time 94038
Miss : 13924, took time 278602
Miss : 13947, took time 84959
Miss : 13957, took time 485868
Miss : 14048, took time 93258
Miss : 14050, took time 475179
Miss : 14076, took time 259956
Miss : 14080, took time 77141
Miss : 14167, took time 334914
Miss : 14312, took time 95598
Miss : 14314, took time 82294
Miss : 14329, took time 348200
Miss : 14399, took time 83852
Miss : 14412, took time 415993
Miss : 14548, took time 267938
Miss : 14560, took time 266393
Miss : 14603, took time 507702
Miss : 14666, took time 78353
Miss : 14677, took time 109741
Miss : 14733, took time 75038
Miss : 14786, took time 259499
Miss : 14819, took time 95218
Miss : 14825, took time 81454
Miss : 14959, took time 254433
Miss : 14988, took time 83433
Miss : 15005, took time 77615
Miss : 15079, took time 83596
Miss : 15087, took time 91443
Miss : 15162, took time 254908
Miss : 15225, took time 266061
Miss : 15247, took time 451534
Miss : 15264, took time 326892
Miss : 15277, took time 361950
Miss : 15292, took time 82196
Miss : 15306, took time 86765
Miss : 15445, took time 434644
Miss : 15459, took time 406478
Miss : 15460, took time 251158
Miss : 15463, took time 341592
Miss : 15508, took time 75323
Miss : 15530, took time 287044
Miss : 15536, took time 88095
Miss : 15570, took time 288303
Miss : 15657, took time 274138
Miss : 15664, took time 81523
Miss : 15666, took time 3887211
Miss : 15706, took time 79472
Miss : 15790, took time 402954
Miss : 15819, took time 602879
